SKU,Description,Category,Unit_Cost,Jan_Y1,Feb_Y1,Mar_Y1,Apr_Y1,May_Y1,Jun_Y1,Jul_Y1,Aug_Y1,Sep_Y1,Oct_Y1,Nov_Y1,Dec_Y1,Jan_Y2,Feb_Y2,Mar_Y2,Apr_Y2,May_Y2,Jun_Y2,Jul_Y2,Aug_Y2,Sep_Y2,Oct_Y2,Nov_Y2,Dec_Y2
SKU-025,Metallic Thread Silver,Specialty,39.80,310,285,345,368,390,419,444,431,404,368,341,320,326,299,362,386,410,440,466,453,424,386,358,336
SKU-026,Polyester Fire Retardant,Specialty,48.20,190,175,210,224,238,255,270,262,245,224,207,194,200,184,221,235,250,268,284,275,257,235,217,204
SKU-027,Cotton Gassed 60/2,Cotton,19.90,2100,1930,2310,2470,2620,2810,2980,2890,2700,2470,2280,2140,2205,2027,2426,2594,2751,2951,3129,3035,2835,2594,2394,2247
SKU-028,Nylon Monofilament 0.4mm,Nylon,29.50,560,515,618,659,700,751,796,773,722,659,610,572,588,541,649,692,735,789,836,812,758,692,640,601
SKU-029,Textured Nylon 70D,Nylon,17.20,3200,2944,3520,3760,3990,4284,4544,4416,4128,3760,3478,3264,3360,3091,3696,3948,4190,4498,4771,4637,4334,3948,3652,3427
SKU-030,Polyester Corespun 50/3,Polyester,33.70,740,680,815,870,924,992,1051,1021,954,870,804,755,777,714,856,914,970,1042,1104,1072,1002,914,844,793
SKU-031,Cotton 20/1 OE,Cotton,9.60,7800,7176,8580,9165,9724,10434,11076,10764,10062,9165,8478,7956,8190,7535,9009,9623,10210,10956,11630,11302,10565,9623,8902,8354
SKU-032,Stretch Nylon 40D,Nylon,14.50,4600,4232,5060,5405,5736,6152,6532,6348,5934,5405,4998,4692,4830,4444,5313,5675,6023,6460,6859,6666,6231,5675,5248,4927
SKU-033,Polyester Multifilament,Polyester,12.10,5900,5428,6490,6933,7357,7898,8381,8141,7610,6933,6413,6020,6195,5699,6815,7280,7725,8293,8800,8548,7991,7280,6734,6321
SKU-034,Cotton Flame Resist,Specialty,52.30,145,133,160,171,181,195,206,200,187,171,158,148,152,140,168,179,190,205,216,210,196,179,166,155
SKU-035,Nylon Bonded 46,Nylon,22.70,1420,1306,1562,1669,1770,1900,2014,1956,1828,1669,1542,1447,1491,1371,1640,1752,1859,1995,2115,2054,1919,1752,1619,1519
SKU-036,Polyester UV Resistant,Specialty,37.40,380,350,419,447,474,509,540,524,490,447,413,388,399,368,440,470,498,534,567,551,515,470,434,407
SKU-037,Cotton 10/1 OE,Cotton,7.30,10500,9660,11550,12338,13090,14048,14910,14490,13545,12338,11410,10710,11025,10143,12128,12955,13745,14750,15656,15215,14222,12955,11981,11246
SKU-038,Polyester 150D/48F,Polyester,6.80,11200,10304,12320,13160,13965,14994,15904,15456,14448,13160,12173,11424,11760,10819,12936,13818,14663,15744,16699,16229,15170,13818,12782,11995
SKU-039,Nylon 66 High Strength,Nylon,44.10,230,212,253,270,287,307,326,317,296,270,250,234,242,223,266,284,301,323,342,333,311,284,262,246
SKU-040,Specialty Reflective,Specialty,68.90,95,87,105,112,119,127,135,131,122,112,103,97,100,92,110,118,125,134,142,138,129,118,109,102
